time_stamp,gnb_id,UE-1 TP,UE-2 TP,UE-3 TP,UE-4 TP,UE-5 TP,UE-6 TP,UE-7 TP,UE-8 TP,UE-9 TP,UE-10 TP,UE-11 TP,Total_Throughput
29.70,gNB-3,,,,,,,,,,,0.00,0.00
29.80,AnchorGNB-1,40.00,350.00,480.00,480.00,550.00,220.00,40.00,160.00,40.00,20.00,,2380.00
29.80,gNB-3,,,,,,,,,,,10.00,10.00
29.90,AnchorGNB-1,110.00,480.00,160.00,550.00,550.00,70.00,110.00,20.00,110.00,0.00,,2160.00
29.90,gNB-3,,,,,,,,,,,10.00,10.00
30.00,AnchorGNB-1,7.00,7.00,112.00,28.00,1.40,112.00,196.00,14.00,14.00,0.00,,491.40
30.00,gNB-3,,,,,,,,,,,7.00,7.00
30.10,AnchorGNB-1,5.00,20.00,40.00,110.00,160.00,280.00,20.00,10.00,2.00,40.00,,687.00
30.10,gNB-3,,,,,,,,,,,10.00,10.00
30.20,AnchorGNB-1,160.00,1.00,70.00,40.00,110.00,40.00,40.00,0.00,20.00,40.00,,521.00
30.20,gNB-3,,,,,,,,,,,70.00,70.00
30.30,AnchorGNB-1,0.00,10.00,40.00,110.00,110.00,220.00,70.00,0.00,20.00,10.00,,590.00
30.30,gNB-3,,,,,,,,,,,0.00,0.00
30.40,AnchorGNB-1,10.00,1.00,280.00,20.00,40.00,5.00,10.00,280.00,10.00,1.00,,657.00
30.40,gNB-3,,,,,,,,,,,10.00,10.00
30.50,AnchorGNB-1,1.00,2.00,110.00,280.00,10.00,40.00,1.00,2.00,1.00,70.00,,517.00
30.50,gNB-3,,,,,,,,,,,10.00,10.00
30.60,AnchorGNB-1,20.00,0.00,70.00,350.00,0.00,350.00,40.00,1.00,2.00,1.00,,834.00
30.60,gNB-3,,,,,,,,,,,10.00,10.00
30.70,AnchorGNB-1,20.00,10.00,280.00,110.00,70.00,40.00,160.00,0.00,5.00,40.00,,735.00
30.70,gNB-3,,,,,,,,,,,5.00,5.00
30.80,AnchorGNB-1,2.00,5.00,2.00,5.00,160.00,280.00,160.00,5.00,0.00,2.00,,621.00
30.80,gNB-3,,,,,,,,,,,70.00,70.00
30.90,AnchorGNB-1,10.00,10.00,40.00,20.00,280.00,110.00,40.00,20.00,5.00,70.00,,605.00
30.90,gNB-3,,,,,,,,,,,10.00,10.00
31.00,AnchorGNB-1,77.00,28.00,77.00,385.00,385.00,112.00,154.00,196.00,7.00,0.00,,1421.00
31.00,gNB-3,,,,,,,,,,,0.00,0.00
31.10,AnchorGNB-1,160.00,420.00,480.00,550.00,550.00,220.00,220.00,2.00,220.00,40.00,,2862.00
31.10,gNB-3,,,,,,,,,,,0.00,0.00
