Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
28.20,UE-9,gNB-2,gNB-4,-17.6,-93.6,Ping-Pong
28.50,UE-2,gNB-2,gNB-4,-7.6,-92.5,Ping-Pong
28.50,UE-6,gNB-2,gNB-4,-8.8,-91.5,Ping-Pong
28.50,UE-7,gNB-4,gNB-2,-20.0,-104.8,Ping-Pong
28.70,UE-2,gNB-4,gNB-2,-11.9,-98.5,Ping-Pong
28.80,UE-4,gNB-2,gNB-4,-4.2,-90.6,Ping-Pong
28.90,UE-1,gNB-2,gNB-1,-5.6,-92.2,Ping-Pong
29.00,UE-5,gNB-1,gNB-2,-1.3,-86.7,Ping-Pong
29.00,UE-8,gNB-4,gNB-1,-8.9,-94.3,Ping-Pong
29.10,UE-2,gNB-2,gNB-1,-20.0,-108.3,Ping-Pong
29.10,UE-4,gNB-4,gNB-3,-8.4,-94.3,Ping-Pong
29.10,UE-6,gNB-4,gNB-2,-20.0,-108.6,Ping-Pong
29.10,UE-9,gNB-4,gNB-3,-7.1,-90.8,Ping-Pong
29.20,UE-7,gNB-2,gNB-3,-13.4,-94.2,Ping-Pong
29.30,UE-4,gNB-3,gNB-1,-2.6,-87.5,Ping-Pong
29.30,UE-6,gNB-2,gNB-3,-15.1,-99.1,Ping-Pong
29.40,UE-1,gNB-1,gNB-2,-3.6,-89.1,Ping-Pong
29.50,UE-3,gNB-2,gNB-1,-18.6,-102.6,Ping-Pong
29.50,UE-6,gNB-3,gNB-1,-6.3,-91.9,Ping-Pong
29.60,UE-1,gNB-2,gNB-1,-4.3,-84.2,Ping-Pong
29.60,UE-8,gNB-1,gNB-3,-7.3,-91.6,Ping-Pong
29.60,UE-10,gNB-4,gNB-3,-6.1,-91.7,Ping-Pong
29.80,UE-5,gNB-2,gNB-1,-13.3,-99.7,Ping-Pong
29.80,UE-11,gNB-4,gNB-2,-20.0,-99.3,Ping-Pong
29.90,UE-6,gNB-1,gNB-3,-14.7,-99.8,Ping-Pong
30.10,UE-8,gNB-3,gNB-1,14.5,-71.4,Ping-Pong
30.10,UE-11,gNB-2,gNB-3,-20.0,-97.0,Ping-Pong
30.20,UE-6,gNB-3,gNB-1,-5.6,-92.3,Ping-Pong
30.30,UE-8,gNB-1,gNB-3,-9.1,-94.1,Ping-Pong
31.00,UE-3,gNB-1,gNB-3,5.8,-79.0,Ping-Pong
31.10,UE-4,gNB-1,gNB-3,-4.6,-85.8,Ping-Pong
